# Java Audiveris 5.11 (Temurin JDK 25) raw STEM_SEEDS candidates.
# Generated by StemSeedsProbe from HEADERS plus StemScaler; the probe
# reflectively calls VerticalsBuilder.retrieveCandidates() and never
# calls checkVerticals(), so these are StickFactory outputs, not seeds.
#
# stemseedinput section digests cover tag/id, position, bounds, weight,
# and every run in Java order. Candidate members retain the compound's
# mixed-orientation order; v/h tags disambiguate the two lag id spaces.
# All floating-point values are Double.toHexString exact encodings.
# Summary digests are FNV-1a-64 over exact record rows plus newline.
#
# Regenerate from the repository root:
#   env -u JAVA_TOOL_OPTIONS JAVA_HOME=/path/to/jdk25/Contents/Home \
#     ./gradlew --no-daemon -q \
#     -I rust/oracle/java/staff-impacts.init.gradle :app:stemSeedsProbe \
#     '-PstemSeedTargets=data/examples/chula.png:1 ...'
stemseedsheet chula.png#1 systems 3
stemseedinput chula.png#1 system 1 profile 1 left 201 right 2327 interline 21 maxStem 4 minCore 32 minSide 0x1.999999999999ap-2 vertical 1321 37f0ff76ff47862d stickers 642 ec0b76655c693264
stemseedcandidate chula.png#1 system 1 ordinal 52 members v2537,v2538 bounds 1684 602 3 81 weight 200 start 0x1.a5681a0374e4dp10 0x1.2dp9 stop 0x1.a536ed41b6913p10 0x1.55p9 thickness 0x1.3c0ca4587e6b7p1 distance 0x1.6b7caaf00c079p-1
stemseedcandidate chula.png#1 system 1 ordinal 53 members v2592,h959,h972,h994,h999,v2593 bounds 1727 379 3 81 weight 182 start 0x1.b01eab3fe1a4ap10 0x1.7bp8 stop 0x1.b00c3f5bff608p10 0x1.cbp8 thickness 0x1.1f9add3c0ca46p1 distance 0x1.559378bf708fdp-1
stemseedcandidate chula.png#1 system 1 ordinal 54 members v3155,v3157,v3159,h1019 bounds 2271 405 3 81 weight 221 start 0x1.1c07dce84ef0cp11 0x1.95p8 stop 0x1.1bf615717804p11 0x1.e5p8 thickness 0x1.5d3c0ca4587e7p1 distance 0x1.8fa78ce95688ap-1
stemseedcandidate chula.png#1 system 1 ordinal 55 members h1204,h1206,v2135,v2136,v2137,v2139,v2144 bounds 1362 613 3 81 weight 189 start 0x1.54e8ecc1cb93ep10 0x1.328p9 stop 0x1.54a10ee3f9f5dp10 0x1.5a8p9 thickness 0x1.2aaaaaaaaaaabp1 distance 0x1.67cc97e3a345fp-1
stemseedcandidate chula.png#1 system 1 ordinal 56 members v2290,v2293,h966 bounds 1486 394 3 74 weight 148 start 0x1.73a2e651110bap10 0x1.8ap8 stop 0x1.73a0979d8e218p10 0x1.d3p8 thickness 0x1.0p1 distance 0x1.0d133c21682b4p-1
stemseedcandidate chula.png#1 system 1 ordinal 57 members v694,v704,v711,v715,v720,v721,v730,v731 bounds 230 319 6 61 weight 210 start 0x1.d13cd3d936fa5p7 0x1.3fp8 stop 0x1.d37eafc600a0fp7 0x1.7bp8 thickness 0x1.b8a7de6d1d608p1 distance 0x1.528348652f6c6p0
stemseedcandidate chula.png#1 system 1 ordinal 58 members v2868,v2872 bounds 1964 360 2 54 weight 61 start 0x1.eb1473b3a923p10 0x1.68p8 stop 0x1.eaf76816a2d18p10 0x1.9dp8 thickness 0x1.212f684bda12fp0 distance 0x1.253e143f763bbp-2
stemseedcandidate chula.png#1 system 1 ordinal 59 members v860,v861,v863,h1191,h1219,h1225 bounds 275 600 3 49 weight 68 start 0x1.140a5e543bfdbp8 0x1.2cp9 stop 0x1.13a3e32e6ceep8 0x1.44p9 thickness 0x1.6343eb1a1f58dp0 distance 0x1.ea6c3dbf4087ep-2
stemseedcandidate chula.png#1 system 1 ordinal 60 members v862,v868,h881,h913 bounds 276 360 3 49 weight 89 start 0x1.14b498beb6be3p8 0x1.68p8 stop 0x1.148113ed2915ap8 0x1.98p8 thickness 0x1.d0fac687d6344p0 distance 0x1.10478c6147ab5p-1
stemseedcandidate chula.png#1 system 1 ordinal 61 members v892 bounds 301 329 1 49 weight 49 start 0x1.2dp8 0x1.49p8 stop 0x1.2dp8 0x1.79p8 thickness 0x1.0p0 distance 0x0.0p0
stemseedcandidate chula.png#1 system 1 ordinal 62 members v891,v893 bounds 300 570 2 49 weight 66 start 0x1.2d258f1c07a3dp8 0x1.1dp9 stop 0x1.2c7343cd41e43p8 0x1.35p9 thickness 0x1.58d0fac687d63p0 distance 0x1.8c09484a22583p-2
stemseedcandidate chula.png#1 system 1 ordinal 63 members v755,v758,v761,v762,v764,v766 bounds 239 349 5 54 weight 183 start 0x1.e2677a69897a4p7 0x1.5dp8 stop 0x1.e10f9d51e2fdcp7 0x1.92p8 thickness 0x1.b1c71c71c71c7p1 distance 0x1.365abb14ef97p0
stemseedcandidate chula.png#1 system 1 ordinal 64 members v1870,v1871,v1872,v1873,h889,v1874,v1876,v1877,v1880,v1881 bounds 1159 343 5 50 weight 166 start 0x1.221936da0d6a1p10 0x1.57p8 stop 0x1.226b5af1b7473p10 0x1.88p8 thickness 0x1.a8f5c28f5c28fp1 distance 0x1.2c00146aa6062p0
